"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",1167,0,85,120,70,1032,745,6.29,0.00,85,89,95,100,190,360,520,710,990,1000,1000,1000
"GET","/api/articles/feed?limit=10",1211,0,83,122,71,1808,33,6.52,0.00,83,87,92,98,170,360,630,840,1400,1800,1800,1800
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",1201,0,90,122,74,1373,427,6.47,0.00,90,95,100,110,170,310,490,620,1300,1400,1400,1400
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",1258,0,83,120,71,1545,15,6.78,0.00,83,87,93,100,190,330,530,720,1200,1500,1500,1500
"GET","/api/profiles/test",1215,0,83,122,70,1777,117,6.54,0.00,83,86,92,99,190,350,640,830,1600,1800,1800,1800
"GET","/api/tags",1190,0,75,107,66,935,11,6.41,0.00,75,78,82,88,180,310,470,630,790,940,940,940
"GET","/api/user",1244,0,78,106,68,1602,269,6.70,0.00,78,81,85,90,140,280,460,550,1200,1600,1600,1600
"PUT","/api/user",1226,0,89,128,73,1446,269,6.60,0.00,89,93,99,110,200,370,610,760,1200,1400,1400,1400
"POST","/api/users/login",500,0,460,443,249,1016,269,2.69,0.00,460,480,500,530,610,660,830,880,1000,1000,1000,1000
"None","Aggregated",10212,0,85,134,66,1808,234,55.01,0.00,85,90,98,110,280,460,610,730,1300,1800,1800,1800
